first_name,second_name,team,element_type,price,total_points,goals_scored,assists,clean_sheets,minutes,form,ict_index,goals_conceded,saves,bonus,selected_by_percent,points_per_game,expected_goals,expected_assists
Igor Thiago,Nascimento Rodrigues,5,4,7.2,181,22,1,10,3282,3.0,256.9,50,0,22,30.2,4.8,20.60,1.83
Iwan,Morgan,5,4,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.3,0.0,0.00,0.00
Josh,Dasilva,5,3,4.9,2,0,0,0,2,0.5,1.6,0,0,0,0.0,1.0,0.08,0.00
Kaye,Furo,5,4,4.5,1,0,0,0,1,0.2,0.0,0,0,0,0.0,1.0,0.00,0.00
Luka,Bentt,5,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Ollie,Shield,5,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Joshua,Stephenson,5,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Conor,McManus,5,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Riley,Owen,5,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Jason,Steele,6,1,4.2,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Bart,Verbruggen,6,1,4.6,130,0,0,10,3420,3.0,94.7,46,106,6,9.3,3.4,0.00,0.06
Tom,McGill,6,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.3,0.0,0.00,0.00
Carl,Rushworth,6,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Kjell,Scherpen,6,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Olivier,Boscagli,6,2,4.2,39,0,1,3,799,0.2,31.1,10,0,4,0.1,3.2,0.05,0.47
Diego,Coppola,6,2,4.2,10,0,0,1,193,0.0,4.8,3,0,0,0.0,2.0,0.00,0.01
Maxim,De Cuyper,6,2,4.3,84,2,3,5,1404,4.5,99.9,23,0,9,1.7,2.8,1.66,4.08
Lewis,Dunk,6,2,4.5,100,1,1,7,2837,4.5,98.7,40,0,5,1.0,3.0,1.83,0.56
Pervis,Estupiñán Tenorio,6,2,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Ferdi,Kadıoğlu,6,2,4.5,118,1,2,10,3130,2.5,123.7,41,0,7,1.4,3.2,2.06,3.31
Igor Julio,dos Santos de Paulo,6,2,4.5,6,0,0,0,103,0.0,3.6,3,0,0,0.1,1.5,0.00,0.00
Tariq,Lamptey,6,2,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Jan Paul,van Hecke,6,2,4.7,148,3,3,10,3210,2.8,152.0,44,0,8,10.7,4.1,3.31,1.57
Joël,Veltman,6,2,4.3,46,1,0,2,1047,2.0,39.6,13,0,1,0.1,1.9,1.15,0.20
Adam,Webster,6,2,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Eiran,Cashin,6,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Jacob,Slater,6,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Charlie,Tasker,6,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Mitoma,Kaoru,6,3,6.1,62,3,1,5,1714,0.2,112.3,20,0,2,1.9,2.5,4.04,2.74
Georginio,Rutter,6,3,5.6,87,3,5,7,1776,1.0,113.5,20,0,2,0.3,2.7,2.90,2.90
Solly,March,6,3,5.8,4,0,0,0,38,0.8,3.2,1,0,0,0.0,1.0,0.04,0.02
Yankuba,Minteh,6,3,5.5,117,3,8,11,2389,3.8,180.3,33,0,9,2.5,3.4,3.81,5.06
Julio,Enciso Espínola,6,3,5.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Brajan,Gruda,6,3,5.4,35,1,1,2,708,0.0,50.0,11,0,2,0.0,1.9,1.86,0.88
Jack,Hinshelwood,6,3,5.2,91,4,5,7,1736,5.0,94.8,23,0,2,1.6,3.4,4.94,2.34
Matt,O'Riley,6,3,5.5,16,1,0,1,202,0.0,19.6,3,0,2,0.3,2.7,1.21,0.18
Abdallah,Sima,6,3,5.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Yasin,Ayari,6,3,4.8,98,3,4,6,1921,0.5,84.5,24,0,7,0.4,3.4,2.70,1.15
Carlos,Baleba,6,3,4.5,56,0,0,7,1646,2.8,36.8,19,0,0,1.5,1.8,0.78,0.72
Diego,Gómez Amarilla,6,3,4.9,97,5,1,8,2117,0.5,119.0,29,0,9,0.4,3.0,6.24,1.72
James,Milner,6,3,4.9,35,1,1,2,772,0.2,34.7,17,0,0,0.1,1.8,1.03,0.66
Jeremy,Sarmiento Morante,6,3,4.9,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Tom,Watson,6,3,4.8,5,0,0,0,57,0.0,1.6,2,0,0,0.0,0.8,0.04,0.03
Mats,Wieffer,6,3,4.8,94,2,4,6,1901,0.8,97.7,26,0,6,0.3,3.6,1.92,1.86
Malick,Yalcouyé,6,3,5.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Joe,Knight,6,3,4.4,1,0,0,0,1,0.0,0.0,0,0,0,0.1,1.0,0.00,0.00
Adrian,Mazilu,6,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Andrew,Moran,6,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Danny,Welbeck,6,4,6.3,126,13,1,10,2249,2.5,168.2,28,0,18,8.4,3.4,12.36,1.40
Evan,Ferguson,6,4,5.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Stefanos,Tzimas,6,4,5.2,16,1,1,0,132,0.0,17.7,2,0,0,0.1,1.8,0.44,0.11
Charalampos,Kostoulas,6,4,4.8,35,2,1,1,351,1.0,52.4,9,0,3,0.3,1.7,2.12,0.54
Nehemiah,Oriola,6,3,4.5,1,0,0,0,1,0.0,0.0,0,0,0,0.0,1.0,0.00,0.00
Freddie,Simmonds,6,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Pascal,Groß,6,3,5.6,78,1,6,6,1636,3.2,128.5,17,0,10,3.0,4.1,1.39,3.95
Harry,Howell,6,3,4.5,4,0,0,0,92,0.0,1.8,2,0,0,0.0,1.3,0.00,0.03
Robert,Lynch Sánchez,7,1,4.8,113,0,1,9,3040,1.2,86.7,49,98,7,10.3,3.2,0.00,0.04
Filip,Jörgensen,7,1,4.3,9,0,0,0,378,0.8,7.9,5,8,0,0.2,1.8,0.00,0.00
Mike,Penders,7,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Gabriel,Słonina,7,1,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Marc,Cucurella Saseta,7,2,6.1,104,1,4,9,2706,1.8,145.1,39,0,5,14.6,3.1,2.34,3.23
Reece,James,7,2,5.6,115,2,6,8,1957,0.5,106.1,20,0,11,6.0,4.0,1.04,3.20
Trevoh,Chalobah,7,2,5.4,136,3,1,9,2780,0.8,99.1,40,0,7,8.8,4.0,1.44,1.03
Levi,Samuels Colwill,7,2,4.7,8,0,0,0,225,2.0,8.0,4,0,0,0.2,2.7,0.00,0.12
Malo,Gusto,7,2,4.8,96,2,3,7,2255,0.2,109.8,36,0,7,1.7,2.8,1.56,2.97
Benoît,Badiashile Mukinayi,7,2,4.4,7,0,0,0,470,0.0,11.4,10,0,0,0.0,0.9,0.00,0.06
Wesley,Fofana,7,2,4.4,65,0,2,4,1718,1.2,60.4,25,0,3,0.4,2.6,0.72,0.60
Mamadou,Sarr,7,2,4.5,3,0,0,0,100,0.2,1.3,3,0,0,0.0,1.0,0.35,0.00
Tosin,Adarabioyo,7,2,4.0,34,0,0,2,788,0.0,29.3,14,0,2,0.3,2.1,0.11,0.40
Josh,Acheampong,7,2,3.7,39,1,0,2,657,0.8,24.4,13,0,5,1.8,2.3,0.62,0.13
Aarón,Anselmino,7,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Cole,Palmer,7,3,10.3,114,10,2,3,1954,3.0,147.7,33,0,11,12.6,4.4,10.55,2.49
Pedro,Lomba Neto,7,3,7.0,125,5,7,11,2629,2.8,186.7,33,0,9,3.9,3.7,4.59,6.84
Enzo,Fernández,7,3,6.5,157,10,5,8,3114,6.0,264.6,46,0,19,12.3,4.4,11.26,7.26
Estêvão,Almeida de Oliveira Gonçalves,7,3,6.4,58,2,5,4,839,0.0,72.6,11,0,4,1.7,2.6,2.91,2.14
Jamie,Bynoe-Gittens,7,3,6.0,25,0,2,1,486,0.0,31.3,7,0,0,0.1,1.6,0.81,0.94
Christopher,Nkunku,7,3,5.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Moisés,Caicedo Corozo,7,3,5.7,110,3,1,6,2796,2.0,109.2,47,0,10,7.1,3.3,1.45,2.38
Roméo,Lavia,7,3,4.9,13,0,0,0,374,0.2,9.5,10,0,0,0.0,1.1,0.21,0.55
Mykhailo,Mudryk,7,3,4.9,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Andrey,Nascimento dos Santos,7,3,4.4,47,1,0,1,1247,3.2,47.5,18,0,3,0.3,1.7,2.00,0.88
Dário,Luís Essugo,7,3,4.3,1,0,0,0,26,0.0,1.6,1,0,0,0.1,0.3,0.00,0.01
Kendry,Páez Andrade,7,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
João Pedro,Junqueira de Jesus,7,4,7.4,177,15,9,10,2658,2.8,212.1,36,0,30,34.8,5.1,14.91,1.96
Liam,Delap,7,4,6.2,45,1,2,2,1092,0.5,47.3,18,0,1,0.9,1.6,4.54,0.23
Nicolas,Jackson,7,4,6.5,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Marc,Guiu Paz,7,4,4.0,13,0,1,0,265,0.0,13.1,3,0,0,5.2,1.3,1.54,0.29
Alejandro,Garnacho Ferreyra,7,3,6.4,56,1,4,4,1261,0.2,100.5,20,0,3,0.4,2.3,3.44,3.68
Jorrel,Hato,7,2,4.6,19,0,0,0,1139,1.0,38.4,27,0,0,0.2,0.9,0.30,0.61
Landon,Emenalo,7,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Max,Merrick,7,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Teddy,Sharman-Lowe,7,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Jesse,Derry,7,3,4.5,1,0,0,0,45,0.2,3.6,2,0,0,0.0,1.0,0.10,0.02
Mathis,Eboué,7,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Ryan,Kavuma-McQueen,7,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Shumaira,Mheuka,7,4,4.5,1,0,0,0,1,0.5,0.2,0,0,0,0.0,1.0,0.00,0.00
Dean,Henderson,8,1,5.1,131,0,0,11,3330,1.4,84.7,51,106,7,9.0,3.5,0.00,0.11
Walter,Benítez,8,1,3.9,7,0,0,1,90,0.0,2.3,0,3,0,0.3,7.0,0.00,0.00
Remi,Matthews,8,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Daniel,Muñoz Mejía,8,2,5.9,136,4,4,10,2400,2.0,139.5,33,0,9,9.2,4.7,2.45,3.94
Maxence,Lacroix,8,2,5.2,154,1,2,11,3085,1.6,124.3,47,0,11,7.1,4.4,2.45,0.83
Tyrick,Mitchell,8,2,5.0,135,1,3,12,3253,1.8,136.0,47,0,8,2.3,3.6,1.59,2.53
Borna,Sosa,8,2,4.8,6,0,0,0,99,0.0,4.5,2,0,0,0.1,0.9,0.04,0.07
Chris,Richards,8,2,4.4,128,1,0,11,2825,1.0,107.6,42,0,5,2.2,3.9,2.42,1.56
Chadi,Riad Dnanou,8,2,4.0,20,0,1,1,550,1.2,18.3,8,0,0,0.1,2.2,0.33,0.13
Nathaniel,Clyne,8,2,3.8,17,0,1,0,592,0.4,19.2,12,0,2,0.5,1.7,0.43,0.60
Rob,Holding,8,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Caleb,Kporha,8,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Ismaïla,Sarr,8,3,6.4,117,9,2,9,2173,3.4,135.1,29,0,9,5.6,4.2,10.93,1.17
Cheick,Doucouré,8,3,4.9,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Romain,Esse,8,3,4.7,4,0,0,0,40,0.0,1.5,0,0,0,0.1,1.0,0.00,0.04
Will,Hughes,8,3,4.7,45,0,1,5,1560,0.6,60.9,18,0,0,0.1,1.5,1.11,1.94
Daichi,Kamada,8,3,5.0,67,0,2,6,1899,1.6,74.5,28,0,0,0.1,2.4,1.64,3.24
Jefferson,Lerma Solís,8,3,4.9,69,0,5,7,1722,1.4,72.5,25,0,3,0.1,2.2,1.84,1.48
Adam,Wharton,8,3,5.0,112,1,6,8,2552,3.6,139.6,43,0,8,0.7,3.3,1.52,7.47
Asher,Agbinone,8,3,4.3,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Naouirou,Ahamada,8,3,4.3,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Justin,Devenny,8,3,4.3,36,1,0,1,785,1.2,38.4,15,0,0,1.1,1.7,2.38,0.39
Malcolm,Ebiowei,8,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Jesurun,Rak-Sakyi,8,3,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Matheus,França de Oliveira,8,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
David,Ozoh,8,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Kaden,Rodney,8,3,4.4,1,0,0,0,3,0.0,0.0,0,0,0,0.1,1.0,0.00,0.00
Franco,Umeh-Chibueze,8,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Jean-Philippe,Mateta,8,4,7.6,114,12,0,8,2210,2.8,150.8,29,0,13,8.1,3.6,14.42,1.32
Eddie,Nketiah,8,4,5.4,23,2,0,0,414,0.0,37.8,12,0,3,0.3,1.9,1.77,0.46
Odsonne,Édouard,8,4,5.0,1,0,0,0,2,0.0,0.2,0,0,0,0.2,1.0,0.00,0.00
Zach,Marsh,8,4,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.3,0.0,0.00,0.00
Brennan,Johnson,8,3,6.5,65,2,1,6,1710,1.4,75.8,24,0,2,2.4,1.9,2.45,1.31
Jørgen,Strand Larsen,8,4,5.8,75,4,1,5,2301,1.8,91.5,41,0,3,1.4,2.1,5.30,1.12
Evann,Guessand,8,3,6.2,44,1,3,2,909,0.4,42.0,15,0,0,0.0,2.1,1.56,0.85
Rio,Cardines,8,3,4.4,2,0,0,0,90,0.4,4.9,2,0,0,0.3,2.0,0.02,0.16
Yéremy,Pino Santos,8,3,5.8,77,2,2,7,2074,1.4,141.4,28,0,3,0.2,2.3,4.53,6.12
Jaydee,Canvot,8,2,4.5,72,0,0,5,1331,1.4,48.1,23,0,9,0.5,3.6,1.48,0.33
Christantus,Uche,8,4,5.5,17,0,1,0,159,0.0,8.8,4,0,0,0.1,1.2,0.49,0.01
Joél,Drakes-Thomas,8,3,4.5,2,0,0,0,7,0.0,0.3,1,0,0,0.0,1.0,0.00,0.00
Dean,Benamar,8,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Ben,Casey,8,4,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
George,King,8,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Danny,Imray,8,2,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Kiernan,Dewsbury-Hall,9,3,5.3,151,8,7,8,2629,2.8,166.0,39,0,18,7.9,4.9,4.35,5.34
Tyrique,George,9,3,4.8,16,0,0,1,351,0.8,23.9,9,0,0,0.1,1.1,0.64,1.19
Jordan,Pickford,9,1,5.6,135,0,0,11,3420,1.8,90.8,50,100,11,13.0,3.6,0.00,0.20
Mark,Travers,9,1,4.2,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Harry,Tyrer,9,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Jarrad,Branthwaite,9,2,5.3,32,1,1,1,678,0.0,29.3,9,0,0,0.3,3.2,0.34,0.11
James,Tarkowski,9,2,5.8,170,2,3,11,3330,5.2,165.7,48,0,12,12.6,4.6,2.53,2.10
Vitalii,Mykolenko,9,2,4.9,95,0,1,9,2959,1.0,102.3,47,0,2,0.7,2.9,0.28,2.46
Jake,O'Brien,9,2,4.9,116,1,3,10,3118,2.0,107.5,46,0,2,0.7,3.1,1.67,1.00
Séamus,Coleman,9,2,4.2,5,0,0,0,19,0.5,2.7,1,0,0,0.1,1.0,0.00,0.17
Michael,Keane,9,2,4.5,131,3,1,7,2588,2.8,111.7,42,0,8,3.1,4.0,2.30,0.49
Nathan,Patterson,9,2,4.4,22,0,0,2,238,0.2,8.8,2,0,0,0.0,3.1,0.03,0.04
Roman,Dixon,9,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.2,0.0,0.00,0.00
Reece,Welch,9,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Iliman,Ndiaye,9,3,6.3,128,6,3,8,2781,2.0,166.5,44,0,7,4.7,4.0,6.68,4.41
Dwight,McNeil,9,3,5.5,53,0,3,6,1161,0.2,52.2,9,0,1,0.1,2.4,1.37,1.91
Carlos,Alcaraz Durán,9,3,5.2,29,0,1,3,679,0.8,41.8,10,0,0,0.1,1.4,1.17,0.54
Idrissa Gana,Gueye,9,3,5.4,83,2,3,5,2094,0.0,85.1,26,0,4,0.1,3.3,1.99,1.84
James,Garner,9,3,5.2,159,2,7,11,3413,2.8,208.4,50,0,13,3.6,4.2,2.10,6.18
Tim,Iroegbunam,9,3,4.8,68,0,3,8,1477,2.2,45.9,18,0,1,0.0,2.3,0.54,0.71
Harrison,Armstrong,9,3,4.5,21,0,0,1,524,0.5,21.0,11,0,0,0.1,1.6,0.79,0.22
Callum,Bates,9,3,4.3,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Coby,Ebere,9,3,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Isaac,Heath,9,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Jenson,Metcalfe,9,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Thierno,Barry,9,4,5.7,95,8,0,7,1898,3.8,102.5,34,0,9,0.8,2.5,8.17,0.44
Norberto Bercique,Gomes Betuncal,9,4,5.1,104,9,1,5,1551,3.0,124.5,19,0,15,3.3,2.8,8.90,0.23
Youssef,Ramalho Chermiti,9,4,4.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Martin,Sherif,9,4,4.4,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Jack,Grealish,9,3,6.3,79,2,6,7,1627,0.0,129.2,23,0,12,5.6,4.0,2.05,3.37
Tom,King,9,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,1.2,0.0,0.00,0.00
Adam,Aznou,9,2,4.2,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Tyler,Onyango,9,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Elijah,Campbell,9,2,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Tyler,Dibling,9,3,5.3,18,0,0,2,349,0.0,13.6,2,0,0,0.0,1.3,0.20,0.14
Merlin,Röhl,9,3,5.0,36,1,1,2,675,4.5,26.3,13,0,2,0.0,2.2,0.67,0.35
Braiden,Graham,9,4,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Bernd,Leno,10,1,5.0,122,0,0,9,3420,3.5,81.5,51,98,8,2.3,3.2,0.00,0.02
Steven,Benda,10,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Antonee,Robinson,10,2,4.9,65,1,0,4,1487,5.0,79.3,19,0,7,0.9,3.0,1.07,1.58
Joachim,Andersen,10,2,4.4,123,0,1,8,2882,0.2,107.0,45,0,8,2.8,3.7,1.43,1.83
Calvin,Bassey,10,2,4.4,103,1,1,7,2532,2.8,84.5,40,0,9,0.8,3.4,1.71,0.35
Timothy,Castagne,10,2,4.3,61,0,2,3,1838,4.0,86.2,31,0,3,0.2,2.0,1.50,1.47
Issa,Diop,10,2,4.3,31,1,0,1,812,4.5,23.0,13,0,3,0.1,2.4,0.80,0.05
Jorge,Cuenca Barreno,10,2,4.3,39,0,0,2,935,0.0,31.2,11,0,1,0.1,2.6,0.05,0.53
Kenny,Tete,10,2,4.5,81,1,0,6,1791,0.0,73.9,25,0,5,0.2,3.7,0.92,1.46
Samuel,Amissah,10,2,3.8,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Alex,Iwobi,10,3,6.1,103,4,3,5,2420,1.2,159.4,40,0,13,1.1,3.6,1.91,4.70
Emile,Smith Rowe,10,3,5.6,80,3,1,6,1909,2.0,102.6,27,0,1,0.5,2.2,4.71,1.12
Andreas,Hoelgebaum Pereira,10,3,5.3,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Ryan,Sessegnon,10,3,5.4,95,3,3,6,1816,0.0,86.7,29,0,8,0.1,3.5,1.60,1.80
Harry,Wilson,10,3,5.8,168,10,9,9,2674,2.2,196.9,38,0,21,17.4,4.7,5.88,4.77
Sander,Berge,10,3,4.9,91,0,3,8,2904,1.0,91.0,45,0,3,0.1,2.6,1.54,1.50
Tom,Cairney,10,3,4.8,41,2,0,2,756,2.2,41.4,10,0,1,0.0,1.7,1.21,0.81
Saša,Lukić,10,3,4.9,67,1,4,6,1730,1.8,93.4,22,0,4,0.1,2.6,2.23,1.91
Martial,Godo,10,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Luke,Harris,10,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Josh,King,10,3,4.4,63,1,3,5,1290,0.8,73.3,18,0,3,1.6,2.0,2.47,0.66
Harrison,Reed,10,3,4.3,15,1,0,0,89,0.5,9.7,4,0,2,0.3,2.1,0.13,0.45
Raúl,Jiménez Rodríguez,10,4,5.9,112,9,5,9,2183,1.0,153.1,28,0,7,1.8,3.1,11.58,0.90
Rodrigo,Muniz Carvalho,10,4,5.3,36,1,1,3,987,1.5,47.3,13,0,3,0.7,1.7,3.30,0.15
Oscar,Bobb,10,3,5.1,42,0,2,4,1030,1.8,66.4,13,0,0,0.2,1.8,1.47,2.10
Benjamin,Lecomte,10,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.7,0.0,0.00,0.00
Samuel,Chukwueze,10,3,5.3,62,3,4,2,1067,1.2,85.8,20,0,1,0.1,2.7,2.10,3.36
Kevin,Santos Lopes de Macedo,10,3,5.7,49,1,3,4,1030,1.5,70.4,15,0,0,0.1,1.9,1.21,1.47
Jonah,Kusi-Asare,10,4,4.5,6,0,0,0,49,0.5,2.3,2,0,0,0.1,0.9,0.00,0.07
Seth,Ridgeon,10,3,4.5,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Alfie,McNally,10,1,4.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00,0.00
Facundo,Buonanotte,11,3,4.6,3,0,0,0,81,0.2,7.4,4,0,0,0.1,0.8,0.06,0.28
Illan,Meslier,11,1,4.1,0,0,0,0,0,0.0,0.0,0,0,0,0.3,0.0,0.00,0.00
Alex,Cairns,11,1,3.9,0,0,0,0,0,0.0,0.0,0,0,0,0.1,0.0,0.00,0.00
Karl,Darlow,11,1,4.0,71,0,0,5,1980,4.2,53.4,27,63,3,6.9,3.2,0.00,0.05
Jayden,Bogle,11,2,4.4,96,1,5,6,2795,1.8,100.3,44,0,1,0.4,2.8,2.08,3.11
